lz: 52.875430805496826281 Vol: 132211.80216499042581 PE: -2324979.72670966  Pxx: -0.00498592618942856 Pyy: 0.00310501239872192 Pzz: 0.993761137778425 
lz: 52.979108120801726045 Vol: 132117.51355621192488 PE: -2324985.30602277  Pxx: -0.000352591563021098 Pyy: -0.00272525980771234 Pzz: 1.14873345429455 
lz: 53.082785436106625809 Vol: 131953.44291343912482 PE: -2324997.07523404  Pxx: -0.00201938568997003 Pyy: -0.00252672771553344 Pzz: 1.15553444402694 
lz: 53.186462751411525574 Vol: 131923.04543071825174 PE: -2325004.5104132  Pxx: 0.00301588477636056 Pyy: 0.000824323386015848 Pzz: 1.33443589991878 
lz: 53.290140066716425338 Vol: 131943.96963234830764 PE: -2325013.26627578  Pxx: -0.00480501835869122 Pyy: -0.00523543902865164 Pzz: 1.52394649785221 
lz: 53.393817382021325102 Vol: 132098.84395496206707 PE: -2325019.96893856  Pxx: -0.00320236119785571 Pyy: 0.00254734592691313 Pzz: 1.68164308601417 
lz: 53.497494697326224866 Vol: 132011.18783118986175 PE: -2325025.722403  Pxx: -0.00104797728479142 Pyy: 0.00273210835602864 Pzz: 1.88080111691521 
lz: 53.60117201263112463 Vol: 132035.91347628898802 PE: -2325031.29409797  Pxx: -0.0023236328374836 Pyy: 0.00108520962172322 Pzz: 2.10456605724219 
lz: 53.704849327936024395 Vol: 131989.81634723450406 PE: -2325038.71615966  Pxx: 0.00283221445236705 Pyy: -0.000709440106001587 Pzz: 2.30902010626487 
lz: 53.808526643240924159 Vol: 132050.29214969981695 PE: -2325039.92781926  Pxx: 0.000227950215368012 Pyy: -0.00189847117327213 Pzz: 2.50500685016307 
lz: 53.912203958545823923 Vol: 132211.59865839840495 PE: -2325039.93613665  Pxx: -0.00647695606998804 Pyy: -0.00668906662730436 Pzz: 2.7462724555541 
lz: 54.015881273850723687 Vol: 132324.95914790805546 PE: -2325042.07732391  Pxx: 0.00433824124271109 Pyy: -0.00423284529257485 Pzz: 2.94199098237018 
lz: 54.119558589155623451 Vol: 132191.34052655944834 PE: -2325047.34219674  Pxx: 0.000380888792292061 Pyy: 0.00163690896106141 Pzz: 3.14267475633617 
lz: 54.223235904460523216 Vol: 132345.851449991751 PE: -2325052.14114157  Pxx: -0.00171815445817693 Pyy: -0.000909191159905276 Pzz: 3.34204709744259 
lz: 54.32691321976542298 Vol: 132347.48576219883398 PE: -2325052.13195049  Pxx: 0.000566073854426909 Pyy: 0.00189240096284173 Pzz: 3.54253304250059 
lz: 54.430590535070322744 Vol: 132396.25463881989708 PE: -2325054.26392488  Pxx: -0.00329148132684983 Pyy: -0.002145506722938 Pzz: 3.74815568680996 
lz: 54.534267850375222508 Vol: 132444.83027652549208 PE: -2325054.64604253  Pxx: 0.00159779088287563 Pyy: -0.00255945311308361 Pzz: 3.91676779588391 
lz: 54.637945165680122273 Vol: 132570.86879807247897 PE: -2325053.6419409  Pxx: 0.00303194158282285 Pyy: -0.000120223888541835 Pzz: 4.15998094967001 
lz: 54.741622480985022037 Vol: 132606.63203695355332 PE: -2325052.11636187  Pxx: 0.00115132412820572 Pyy: 0.003075603118464 Pzz: 4.38071889135522 
lz: 54.845299796289921801 Vol: 132807.28471659001661 PE: -2325048.12866507  Pxx: -0.0038248292801798 Pyy: -0.00219407653925838 Pzz: 4.6645031850667 
lz: 54.948977111594722089 Vol: 132841.58408820838667 PE: -2325042.89791927  Pxx: -0.00163975695551158 Pyy: 0.00137596634416935 Pzz: 4.91509848547897 
lz: 55.052654426899621853 Vol: 132940.24441449667211 PE: -2325039.07848295  Pxx: -0.0039090250909733 Pyy: -0.00126152620010145 Pzz: 5.07700077865619 
lz: 55.156331742204521618 Vol: 133148.7851978171675 PE: -2325037.8928598  Pxx: 0.00603701089716306 Pyy: -0.00539521329227306 Pzz: 5.20918421887159 
lz: 55.260009057509421382 Vol: 133209.00391057808883 PE: -2325035.03398724  Pxx: -0.00645904447644223 Pyy: 0.000374663473466941 Pzz: 5.37206947489957 
lz: 55.363686372814321146 Vol: 133387.45961681599147 PE: -2325029.04260381  Pxx: -0.00168023849962822 Pyy: 0.00574043834849097 Pzz: 5.58219062180883 
lz: 55.467363688119228016 Vol: 133502.5807594062062 PE: -2325025.70057494  Pxx: -0.00645192535839896 Pyy: -0.000783289804413883 Pzz: 5.75176693502108 
lz: 55.57104100342412778 Vol: 133554.10816325305495 PE: -2325021.85939769  Pxx: 0.00329986213763375 Pyy: 0.000316502806239483 Pzz: 5.93786340088829 
lz: 55.674718318729027544 Vol: 133787.30962526347139 PE: -2325015.54456382  Pxx: 0.000281985618722875 Pyy: -0.000514845584865111 Pzz: 6.14771365351448 
lz: 55.778395634033927308 Vol: 133826.75091914457153 PE: -2325008.23939234  Pxx: -0.000871247581165592 Pyy: -0.000862038256618815 Pzz: 6.39271867281849 
