lz: 54.971347599587545574 Vol: 156990.49161917544552 PE: -2324128.24994779  Pxx: -0.00228558493983753 Pyy: -0.000960408745298225 Pzz: -0.0703117678554336 
lz: 55.081290294786647621 Vol: 157218.18769945684471 PE: -2324168.65129776  Pxx: -0.000580281983404944 Pyy: -0.000123968828090434 Pzz: 0.0493845664922698 
lz: 55.191232989985849144 Vol: 157189.53522997882101 PE: -2324185.37602883  Pxx: -0.00755785591400414 Pyy: -0.00171421109922972 Pzz: 0.180376811519507 
lz: 55.301175685185050668 Vol: 157176.81585724602337 PE: -2324207.86683828  Pxx: -0.00672148659818463 Pyy: 0.00216490268476837 Pzz: 0.270668136649241 
lz: 55.411118380384245086 Vol: 157138.23353922381648 PE: -2324225.0592367  Pxx: -0.00345994444529578 Pyy: 0.000906706025975475 Pzz: 0.357547325893687 
lz: 55.521061075583347133 Vol: 157113.78898016121821 PE: -2324238.98124068  Pxx: 0.00133827571598625 Pyy: -0.000214266701585191 Pzz: 0.464923260384545 
lz: 55.631003770782548656 Vol: 157409.09767869510688 PE: -2324241.87453685  Pxx: 0.00094527446084677 Pyy: -0.00533477458704645 Pzz: 0.549382531623149 
lz: 55.74094646598175018 Vol: 157592.00787015046808 PE: -2324249.85895724  Pxx: 0.00195221976149615 Pyy: -0.000913464432830851 Pzz: 0.640953063990725 
lz: 55.850889161180944598 Vol: 157725.55431574714021 PE: -2324258.26091798  Pxx: 0.00207779470379707 Pyy: -0.00127743670124679 Pzz: 0.769814009342527 
lz: 55.960831856380046645 Vol: 157944.49538722433499 PE: -2324265.1084044  Pxx: -0.00126080102854493 Pyy: 0.00246235556933113 Pzz: 0.890273742162148 
lz: 56.070774551579248168 Vol: 158140.0018548562366 PE: -2324273.32508088  Pxx: -3.73153144138462e-05 Pyy: 0.00446793565718344 Pzz: 0.99199176507191 
lz: 56.180717246778449692 Vol: 157969.21542116941418 PE: -2324272.58329949  Pxx: 0.00447313019873875 Pyy: 0.00379734815029743 Pzz: 1.10381106660167 
lz: 56.29065994197764411 Vol: 158160.16379753377987 PE: -2324275.8942947  Pxx: 0.00558922476339805 Pyy: 0.00304928246527842 Pzz: 1.18506238059238 
lz: 56.400602637176746157 Vol: 158214.01707341647125 PE: -2324277.96554421  Pxx: 0.000425164638765727 Pyy: 0.00311899955047977 Pzz: 1.31280279829346 
lz: 56.51054533237594768 Vol: 158444.72202943044249 PE: -2324277.14875649  Pxx: 0.000966977815475863 Pyy: 0.00155347490161905 Pzz: 1.39952046034424 
lz: 56.620488027575149204 Vol: 158394.77994617295917 PE: -2324281.47622831  Pxx: -0.00340679584300678 Pyy: -0.000745468397053459 Pzz: 1.48140722997924 
lz: 56.730430722774343621 Vol: 158622.16966560835135 PE: -2324278.63720098  Pxx: -0.00154338089782959 Pyy: -0.00114863221603228 Pzz: 1.6010458856954 
lz: 56.840373417973445669 Vol: 158867.34728416337748 PE: -2324281.74286619  Pxx: 8.46103711774185e-05 Pyy: -0.00358062645187609 Pzz: 1.68251233181459 
