lz: 67.225834851231795142 Vol: 239608.21931194904028 PE: -2322223.94325743  Pxx: 0.000164919356632491 Pyy: -0.00221910688132267 Pzz: -0.0197045911499457 
lz: 67.36028652093429514 Vol: 238447.36242460884387 PE: -2322295.77354121  Pxx: -0.00376769612975326 Pyy: 0.0011670717594534 Pzz: 0.0733179380213832 
lz: 67.494738190636695663 Vol: 238178.44677832911839 PE: -2322331.97899243  Pxx: 0.000640289398439099 Pyy: -0.00152449916862332 Pzz: 0.138818245408472 
lz: 67.629189860339195661 Vol: 238468.22209579925402 PE: -2322366.76262265  Pxx: -0.00109324552438839 Pyy: 0.000727947672355291 Pzz: 0.197583042673644 
lz: 67.76364153004169566 Vol: 238262.08978578035021 PE: -2322396.79721267  Pxx: 0.00350454347500082 Pyy: -0.00180459491582803 Pzz: 0.246710137523946 
lz: 67.898093199744096182 Vol: 237345.43333805463044 PE: -2322428.47869173  Pxx: -0.00278954843975188 Pyy: 0.00203647229265888 Pzz: 0.283638487250663 
lz: 68.032544869446596181 Vol: 237819.70584187612985 PE: -2322445.76018968  Pxx: 0.000951970323080173 Pyy: -0.00211107639146407 Pzz: 0.340396984367826 
lz: 68.166996539149096179 Vol: 237835.38531852010055 PE: -2322465.21645485  Pxx: 0.00214608185043032 Pyy: -6.0744221284403e-05 Pzz: 0.383151928876053 
lz: 68.301448208851482491 Vol: 237903.71271923993481 PE: -2322484.02189862  Pxx: 0.000243861286356826 Pyy: 0.00130322891057466 Pzz: 0.430353258816525 
lz: 68.435899878553982489 Vol: 237908.75103228539228 PE: -2322492.74671679  Pxx: 0.00268516343829992 Pyy: -0.00332428243128008 Pzz: 0.471240830279351 
lz: 68.570351548256383012 Vol: 237624.09173392289085 PE: -2322510.4334294  Pxx: -0.00242167176482771 Pyy: -0.000113772543286759 Pzz: 0.509405144087478 
lz: 68.70480321795888301 Vol: 237623.61634988497826 PE: -2322520.2438318  Pxx: -0.00252246904366157 Pyy: 0.00135513077681694 Pzz: 0.571380151183363 
lz: 68.839254887661383009 Vol: 238244.31324265277362 PE: -2322534.60062774  Pxx: 0.00097255602331155 Pyy: 0.000569062069361584 Pzz: 0.598199368003601 
lz: 68.973706557363783531 Vol: 237184.58296634114231 PE: -2322553.23535563  Pxx: 7.17596058758788e-05 Pyy: -0.00236033139516273 Pzz: 0.655423572661424 
lz: 69.10815822706628353 Vol: 236917.13971176950145 PE: -2322562.65527785  Pxx: 0.00131323282131693 Pyy: -0.00239705458923749 Pzz: 0.697401312406258 
lz: 69.242609896768783528 Vol: 237215.03241505063488 PE: -2322602.78606621  Pxx: 0.00290027481991381 Pyy: -0.00117828096762966 Pzz: 0.746545384344197 
lz: 69.377061566471184051 Vol: 236982.12014170197654 PE: -2322609.69881406  Pxx: 4.52660307267548e-05 Pyy: 0.000177526513305327 Pzz: 0.789174776696696 
lz: 69.511513236173684049 Vol: 237475.97277536071488 PE: -2322619.32641392  Pxx: -0.000879544229711736 Pyy: 0.00116565901150361 Pzz: 0.83428587333132 
lz: 69.645964905876184048 Vol: 236963.05822417000309 PE: -2322629.51905971  Pxx: -0.00436369736903838 Pyy: 0.000134404425927444 Pzz: 0.869476543583898 
lz: 69.78041657557858457 Vol: 236891.10651473709731 PE: -2322647.63852321  Pxx: 0.000783591313813098 Pyy: 0.000532647964995835 Pzz: 0.909328799941983 
lz: 69.914868245281084569 Vol: 237089.54853476470453 PE: -2322667.14029855  Pxx: 0.00153942121816453 Pyy: -0.000819778603069758 Pzz: 0.964266326694494 
lz: 70.049319914983485091 Vol: 237269.22371873809607 PE: -2322675.53109322  Pxx: -0.00196638903533385 Pyy: -0.00218705668090759 Pzz: 1.02629732956325 
lz: 70.18377158468598509 Vol: 236840.70890102177509 PE: -2322684.83081211  Pxx: 0.000409866633483007 Pyy: 0.000258901158832387 Pzz: 1.08693419181112 
lz: 70.318223254388485088 Vol: 236794.27884819128667 PE: -2322692.24832737  Pxx: -0.00147985687428042 Pyy: -0.000336879856797657 Pzz: 1.12714031918926 
lz: 70.452674924090885611 Vol: 236981.44539624769823 PE: -2322704.38581149  Pxx: 2.21646523507113e-05 Pyy: -0.00179248488330672 Pzz: 1.15848500115209 
lz: 70.587126593793385609 Vol: 236713.24588253241382 PE: -2322711.50841337  Pxx: 0.000856288263799268 Pyy: 0.000839133341872911 Pzz: 1.2013004013431 
lz: 70.721578263495885608 Vol: 236695.13723113850574 PE: -2322721.91620806  Pxx: -0.00244950368496668 Pyy: -0.00124410691134587 Pzz: 1.23956148900892 
lz: 70.85602993319828613 Vol: 236547.30770061141811 PE: -2322734.96375208  Pxx: 0.00244308307993169 Pyy: 0.000879397785025608 Pzz: 1.2973587014083 
lz: 70.990481602900786129 Vol: 236791.7647134703584 PE: -2322745.48401666  Pxx: 0.00130526817334145 Pyy: 0.000422715594992051 Pzz: 1.33916470377554 
lz: 71.124933272603286127 Vol: 236732.71458438193076 PE: -2322752.92595842  Pxx: -0.000215698010396891 Pyy: 0.001466281961015 Pzz: 1.37423022782961 
lz: 71.25938494230568665 Vol: 236499.95483879224048 PE: -2322765.63639147  Pxx: -0.00280953777541338 Pyy: 0.000653212135877186 Pzz: 1.40319985738039 
lz: 71.393836612008186648 Vol: 236789.78979193596751 PE: -2322770.76798504  Pxx: 0.00137705624732749 Pyy: 0.000580137299083386 Pzz: 1.43170566184118 
