lz: 51.308495274084350513 Vol: 125700.30401894351235 PE: -2325195.13003302  Pxx: 0.0017548376736264 Pyy: 0.00413909913619209 Pzz: -0.191062169281005 
lz: 51.411112264632450319 Vol: 125951.71532603107335 PE: -2325211.01649908  Pxx: 0.00583377827190021 Pyy: -0.00353690113408416 Pzz: 0.0259934575822639 
lz: 51.513729255180649602 Vol: 126008.26759798853891 PE: -2325233.1804724  Pxx: -0.00171104358080849 Pyy: -0.00309932348231782 Pzz: 0.159138112972406 
lz: 51.616346245728848885 Vol: 126027.58818461562623 PE: -2325244.79898158  Pxx: 0.00322456860105986 Pyy: -0.00735513267574604 Pzz: 0.341827091845545 
lz: 51.718963236276948692 Vol: 126242.96861624690064 PE: -2325253.56611698  Pxx: 0.000200870028931589 Pyy: 0.00367054026589322 Pzz: 0.55238701407991 
lz: 51.821580226825147975 Vol: 126372.50425917630491 PE: -2325265.30486719  Pxx: 0.00438659314670799 Pyy: 0.00304066104284644 Pzz: 0.774642338687501 
lz: 51.924197217373347257 Vol: 126443.48406472588249 PE: -2325275.2928789  Pxx: -0.00257052140117382 Pyy: 0.00434674729247257 Pzz: 1.03138338447636 
lz: 52.026814207921447064 Vol: 126462.54802758300502 PE: -2325277.0968203  Pxx: 0.00432149624377274 Pyy: -0.00128395253168346 Pzz: 1.26282138014394 
lz: 52.129431198469646347 Vol: 126592.93728619284229 PE: -2325282.81646881  Pxx: 0.00149487432854538 Pyy: -0.00200457761149813 Pzz: 1.44288830106925 
lz: 52.23204818901784563 Vol: 126797.55756503342127 PE: -2325288.48403751  Pxx: 0.0007015677638534 Pyy: 0.00457944866598788 Pzz: 1.63936674714204 
lz: 52.334665179565945436 Vol: 126954.19980506575666 PE: -2325293.52371718  Pxx: 0.000616206631799845 Pyy: -0.00417073332584608 Pzz: 1.88762968435796 
lz: 52.437282170114144719 Vol: 126922.42814685893245 PE: -2325293.38740539  Pxx: 0.000345898321368754 Pyy: 0.00235216943596202 Pzz: 2.12135602719169 
lz: 52.539899160662351107 Vol: 127101.22686705087835 PE: -2325291.74134724  Pxx: -0.000212872928870244 Pyy: 0.000931332393149366 Pzz: 2.3160469607852 
lz: 52.642516151210450914 Vol: 127297.58888695397764 PE: -2325292.51666328  Pxx: 0.00195460674257483 Pyy: -0.0044875877802293 Pzz: 2.51807119321468 
lz: 52.745133141758650197 Vol: 127308.75626010887208 PE: -2325292.45055918  Pxx: 0.000529595207438129 Pyy: -0.000479734716152176 Pzz: 2.73414645565548 
lz: 52.84775013230684948 Vol: 127297.72663163651305 PE: -2325293.33644398  Pxx: -0.000622996353967308 Pyy: -0.00416216178853641 Pzz: 3.0567549002007 
lz: 52.950367122855048763 Vol: 127638.29506543013849 PE: -2325290.94433563  Pxx: 0.00202570067922255 Pyy: -0.00275219461661649 Pzz: 3.27079197096097 
lz: 53.052984113403148569 Vol: 127811.07262303949392 PE: -2325289.50008071  Pxx: 0.00113015610199102 Pyy: -0.00104605629170295 Pzz: 3.55326177174357 
lz: 53.155601103951347852 Vol: 127893.14148188527906 PE: -2325291.8905861  Pxx: -0.00137846866267582 Pyy: 0.00206796898861611 Pzz: 3.73417365470796 
lz: 53.258218094499547135 Vol: 128110.8747515383584 PE: -2325290.5608037  Pxx: -0.00223477194531002 Pyy: -0.00153285251988681 Pzz: 3.919489850233 
lz: 53.360835085047646942 Vol: 128182.04049537266837 PE: -2325295.45612816  Pxx: 0.00116514586966399 Pyy: -0.000779684752407276 Pzz: 4.09728911048293 
lz: 53.463452075595846225 Vol: 128412.88117089756997 PE: -2325292.7879968  Pxx: 0.00353429068215709 Pyy: 0.00200710043310498 Pzz: 4.27812850009879 
lz: 53.566069066144045507 Vol: 128495.57593167743471 PE: -2325291.80594915  Pxx: 0.00129910964725805 Pyy: -0.00483199285347719 Pzz: 4.49896250304795 
lz: 53.668686056692145314 Vol: 128601.94031619055022 PE: -2325287.11860389  Pxx: 0.00271769090142843 Pyy: -4.75533132142884e-05 Pzz: 4.77908795098078 
lz: 53.771303047240344597 Vol: 128692.87782491426333 PE: -2325290.1969232  Pxx: 0.000430640202436949 Pyy: -0.00116746347281634 Pzz: 4.98993905733243 
lz: 53.873920037788550985 Vol: 128851.07475944212638 PE: -2325288.6485525  Pxx: -0.00417533136480571 Pyy: -0.000242777296423486 Pzz: 5.17868574517545 
lz: 53.976537028336650792 Vol: 128995.75682733519352 PE: -2325289.78331194  Pxx: 0.00462849494031801 Pyy: 0.00376736175015603 Pzz: 5.41888693651664 
lz: 54.079154018884850075 Vol: 129031.52348356992297 PE: -2325293.67864074  Pxx: 0.00655355636298343 Pyy: -0.00207752160265049 Pzz: 5.56626241697746 
lz: 54.181771009433049358 Vol: 129256.78100521482702 PE: -2325293.5813854  Pxx: -0.00139237337854367 Pyy: 0.00138809469152984 Pzz: 5.80674232564718 
lz: 54.284387999981149164 Vol: 129306.48865737806773 PE: -2325285.24369168  Pxx: -0.00321600037248517 Pyy: 0.00144345071945569 Pzz: 6.07329573784638 
lz: 54.387004990529348447 Vol: 129698.11102848431619 PE: -2325283.91997951  Pxx: 0.00177206482590638 Pyy: -7.86673520723788e-05 Pzz: 6.25348977610672 
