lz: 93.531894056301439377 Vol: 72686.639286174962763 PE: -558626.410183338  Pxx: -0.0542504259045275 Pyy: -0.00349541966342563 Pzz: -0.105475084468898 
lz: 93.718957844414035208 Vol: 72415.80344882614736 PE: -558633.633392734  Pxx: -0.0143842298316018 Pyy: -0.00378665253915804 Pzz: -0.0820256159829187 
lz: 93.906021632526631038 Vol: 72585.013071654597297 PE: -558643.827052876  Pxx: 0.00751627389140137 Pyy: -0.00020523559933876 Pzz: -0.0476833862253353 
lz: 94.093085420639226868 Vol: 72856.393804691571859 PE: -558647.07906985  Pxx: -0.0187052985698747 Pyy: 0.00764898013339483 Pzz: -0.0339309280309949 
lz: 94.28014920875185112 Vol: 72777.988984219671693 PE: -558652.963752953  Pxx: -0.00876728294969381 Pyy: -0.000926150902649984 Pzz: -0.0279079106463723 
lz: 94.46721299686444695 Vol: 72756.33070255817438 PE: -558658.346197302  Pxx: 0.0129388527250432 Pyy: -0.00241987134705353 Pzz: -0.017123051046327 
lz: 94.65427678497704278 Vol: 73148.24287623258715 PE: -558663.296105589  Pxx: 0.0197993356886037 Pyy: -0.00190863166864938 Pzz: 0.0283955235432182 
lz: 94.84134057308963861 Vol: 72983.515873980286415 PE: -558667.399954306  Pxx: 0.022164452390293 Pyy: -0.00160809027602408 Pzz: 0.0510957836568253 
lz: 95.02840436120223444 Vol: 72970.984348733079969 PE: -558668.116955727  Pxx: 0.0225541506979599 Pyy: -0.00370987773827601 Pzz: 0.0716978468317804 
lz: 95.215468149314830271 Vol: 73072.896227479097433 PE: -558671.404506397  Pxx: 0.0379920715099321 Pyy: -0.000421586708604356 Pzz: 0.109846772984462 
lz: 95.402531937427426101 Vol: 73147.656896391141345 PE: -558672.322122188  Pxx: 0.0408768472396452 Pyy: 0.000844539320984213 Pzz: 0.131654546650487 
lz: 95.589595725540050353 Vol: 73643.125548257419723 PE: -558672.538638211  Pxx: 0.0525503722677357 Pyy: 0.00281800994611023 Pzz: 0.150023641025813 
lz: 95.776659513652646183 Vol: 73425.572916557750432 PE: -558673.088964968  Pxx: 0.062220222092361 Pyy: -0.00219635252073257 Pzz: 0.19055292011038 
lz: 95.963723301765242013 Vol: 73522.308040073054144 PE: -558674.014456772  Pxx: 0.0885390606932886 Pyy: 0.000509620509641524 Pzz: 0.22709709333328 
