# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
254 3.042 4.21981 25.4974
255 3.054 3.3937 26.295
256 3.066 2.55425 26.9001
257 3.078 1.80069 27.33
258 3.09 1.18311 27.6146
259 3.102 0.727913 27.7911
260 3.114 0.419034 27.8935
261 3.126 0.224973 27.9489
262 3.138 0.11343 27.9771
263 3.15 0.053018 27.9903
264 3.162 0.0232361 27.9962
265 3.174 0.00944742 27.9986
266 3.186 0.00363265 27.9995
267 3.198 0.00128355 27.9998
268 3.21 0.000439036 28
269 3.222 0.000151373 28
270 3.234 2.42832e-05 28
271 3.246 1.5065e-06 28
272 3.258 1.49542e-06 28
273 3.27 1.48446e-06 28
274 3.282 0 28
275 3.294 0 28
276 3.306 0 28
277 3.318 0 28
278 3.33 0 28
279 3.342 0 28
280 3.354 0 28
281 3.366 0 28
282 3.378 1.39106e-06 28
283 3.39 5.52492e-06 28
284 3.402 3.56591e-05 28
285 3.414 0.000111674 28
286 3.426 0.000309689 28.0001
287 3.438 0.000815159 28.0004
288 3.45 0.00203241 28.001
289 3.462 0.00484192 28.0025
290 3.474 0.0106548 28.0057
291 3.486 0.0229226 28.0127
292 3.498 0.0464768 28.027
293 3.51 0.0879167 28.0543
294 3.522 0.155388 28.1029
295 3.534 0.261151 28.1851
296 3.546 0.409822 28.315
297 3.558 0.606786 28.5085
298 3.57 0.846482 28.7804
299 3.582 1.11121 29.1397
300 3.594 1.37075 29.5859
301 3.606 1.59296 30.1078
302 3.618 1.73918 30.6815
303 3.63 1.7833 31.2737
304 3.642 1.72131 31.849
305 3.654 1.56504 32.3756
306 3.666 1.33874 32.829
307 3.678 1.07541 33.1956
308 3.69 0.813071 33.4746
309 3.702 0.57701 33.6739
310 3.714 0.385648 33.8079
311 3.726 0.241873 33.8925
312 3.738 0.144092 33.9433
313 3.75 0.0801637 33.9717
314 3.762 0.0422923 33.9867
315 3.774 0.0218767 33.9946
316 3.786 0.0127019 33.9992
317 3.798 0.0129937 34.0039
318 3.81 0.0229087 34.0123
319 3.822 0.0486574 34.0302
320 3.834 0.100806 34.0675
321 3.846 0.193568 34.1397
322 3.858 0.350519 34.2712
323 3.87 0.58938 34.4936
324 3.882 0.920588 34.8432
325 3.894 1.34149 35.3558
326 3.906 1.82219 36.0564
327 3.918 2.31186 36.9507
328 3.93 2.7345 38.015
329 3.942 3.02522 39.1996
330 3.954 3.13037 40.4329
331 3.966 3.03019 41.6339
332 3.978 2.74625 42.7291
333 3.99 2.33184 43.6646
334 4.002 1.85608 44.4137
335 4.014 1.38542 44.9762
336 4.026 0.972581 45.3734
337 4.038 0.639712 45.6363
338 4.05 0.396174 45.8
339 4.062 0.230864 45.896
340 4.074 0.125868 45.9487
341 4.086 0.0652513 45.9761
342 4.098 0.0313559 45.9894
