# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
232 2.778 0.875514 8.76652
233 2.79 0.841891 8.85554
234 2.802 0.814266 8.94238
235 2.814 0.790823 9.02745
236 2.826 0.772568 9.11126
237 2.838 0.756183 9.194
238 2.85 0.74346 9.27603
239 2.862 0.732822 9.35757
240 2.874 0.722117 9.4386
241 2.886 0.711916 9.51915
242 2.898 0.702322 9.59927
243 2.91 0.692781 9.67896
244 2.922 0.682899 9.75817
245 2.934 0.673849 9.83697
246 2.946 0.664222 9.91528
247 2.958 0.654367 9.99305
248 2.97 0.645342 10.0704
249 2.982 0.637001 10.1473
250 2.994 0.630336 10.2241
251 3.006 0.624426 10.3007
252 3.018 0.618177 10.3772
253 3.03 0.615268 10.454
254 3.042 0.612287 10.5309
255 3.054 0.610352 10.6083
256 3.066 0.611455 10.6863
257 3.078 0.613238 10.7653
258 3.09 0.616897 10.8453
259 3.102 0.621046 10.9264
260 3.114 0.627417 11.0091
261 3.126 0.635049 11.0934
262 3.138 0.644037 11.1795
263 3.15 0.652744 11.2675
264 3.162 0.662947 11.3576
265 3.174 0.674214 11.4498
266 3.186 0.686299 11.5445
267 3.198 0.699599 11.6417
268 3.21 0.712893 11.7414
269 3.222 0.726421 11.8439
270 3.234 0.74144 11.9492
271 3.246 0.75603 12.0574
272 3.258 0.7718 12.1687
273 3.27 0.786444 12.283
274 3.282 0.801819 12.4003
275 3.294 0.81671 12.5207
276 3.306 0.831828 12.6442
277 3.318 0.845468 12.7706
278 3.33 0.857471 12.8998
279 3.342 0.86884 13.0316
280 3.354 0.877451 13.1657
281 3.366 0.885458 13.302
282 3.378 0.891571 13.4402
283 3.39 0.895275 13.5799
284 3.402 0.89893 13.7213
285 3.414 0.902041 13.8641
286 3.426 0.904529 14.0083
287 3.438 0.907733 14.154
288 3.45 0.911788 14.3015
289 3.462 0.916643 14.4507
290 3.474 0.922061 14.6019
291 3.486 0.929547 14.7553
292 3.498 0.93813 14.9113
293 3.51 0.947472 15.0698
294 3.522 0.959215 15.2315
295 3.534 0.969904 15.396
296 3.546 0.983158 15.5639
297 3.558 0.995396 15.7351
298 3.57 1.00822 15.9097
299 3.582 1.02043 16.0875
300 3.594 1.03366 16.2689
301 3.606 1.04364 16.4532
302 3.618 1.0556 16.641
303 3.63 1.06661 16.8319
304 3.642 1.07749 17.026
305 3.654 1.08974 17.2237
306 3.666 1.10171 17.4248
307 3.678 1.115 17.6297
308 3.69 1.1289 17.8385
309 3.702 1.14353 18.0514
310 3.714 1.15716 18.2682
311 3.726 1.17286 18.4894
312 3.738 1.18679 18.7147
313 3.75 1.19914 18.9437
314 3.762 1.21024 19.1764
315 3.774 1.21982 19.4124
316 3.786 1.22727 19.6514
317 3.798 1.23009 19.8924
318 3.81 1.2315 20.1353
319 3.822 1.22832 20.379
320 3.834 1.22125 20.6229
321 3.846 1.21311 20.8666
322 3.858 1.19961 21.1092
323 3.87 1.18321 21.3499
324 3.882 1.1642 21.5882
325 3.894 1.14341 21.8238
326 3.906 1.11959 22.0558
327 3.918 1.09595 22.2843
328 3.93 1.06991 22.5088
329 3.942 1.04525 22.7294
330 3.954 1.01996 22.9461
331 3.966 0.996093 23.1589
332 3.978 0.973559 23.3682
333 3.99 0.953845 23.5745
334 4.002 0.933051 23.7775
335 4.014 0.915495 23.9778
336 4.026 0.900774 24.1762
337 4.038 0.885842 24.3724
338 4.05 0.874337 24.5672
339 4.062 0.866458 24.7614
340 4.074 0.858159 24.9549
341 4.086 0.853345 25.1484
342 4.098 0.849932 25.3423
343 4.11 0.848231 25.537
344 4.122 0.848119 25.7327
345 4.134 0.850424 25.9301
346 4.146 0.85335 26.1294
347 4.158 0.857068 26.3307
348 4.17 0.861783 26.5343
349 4.182 0.86834 26.7406
350 4.194 0.874237 26.9494
351 4.206 0.881275 27.1612
352 4.218 0.888018 27.3758
353 4.23 0.895097 27.5934
354 4.242 0.902283 27.814
355 4.254 0.908811 28.0374
356 4.266 0.915151 28.2636
