# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
260 3.114 0 12
261 3.126 0 12
262 3.138 0 12
263 3.15 0 12
264 3.162 0 12
265 3.174 0 12
266 3.186 0 12
267 3.198 0 12
268 3.21 0 12
269 3.222 0 12
270 3.234 0 12
271 3.246 0 12
272 3.258 0 12
273 3.27 0 12
274 3.282 0 12
275 3.294 0 12
276 3.306 0 12
277 3.318 0 12
278 3.33 0 12
279 3.342 0 12
280 3.354 0 12
281 3.366 0 12
282 3.378 0 12
283 3.39 0 12
284 3.402 0 12
285 3.414 0 12
286 3.426 0 12
287 3.438 0 12
288 3.45 0 12
289 3.462 0 12
290 3.474 0 12
291 3.486 0 12
292 3.498 0 12
293 3.51 0 12
294 3.522 0 12
295 3.534 0 12
296 3.546 0 12
297 3.558 0 12
298 3.57 0 12
299 3.582 0 12
300 3.594 0 12
301 3.606 0 12
302 3.618 0 12
303 3.63 0 12
304 3.642 0.00110581 12
305 3.654 0.00373509 12.0002
306 3.666 0.00851273 12.0005
307 3.678 0.0268898 12.0015
308 3.69 0.0749749 12.0043
309 3.702 0.194572 12.0115
310 3.714 0.454688 12.0286
311 3.726 1.01805 12.0672
312 3.738 1.90149 12.1396
313 3.75 3.36857 12.2688
314 3.762 5.44269 12.4789
315 3.774 8.14247 12.7952
316 3.786 11.1919 13.2326
317 3.798 14.0776 13.7864
318 3.81 16.1581 14.4261
319 3.822 17.318 15.116
320 3.834 16.8455 15.7913
321 3.846 15.2625 16.4069
322 3.858 12.5604 16.9168
323 3.87 9.52887 17.3059
324 3.882 6.803 17.5855
325 3.894 4.38522 17.7669
326 3.906 2.65687 17.8774
327 3.918 1.49899 17.9402
328 3.93 0.766007 17.9724
329 3.942 0.371519 17.9882
330 3.954 0.164744 17.9952
331 3.966 0.0744144 17.9984
332 3.978 0.0261384 17.9995
333 3.99 0.00700208 17.9998
334 4.002 0.00366324 18
335 4.014 0.000182068 18
336 4.026 0.000180985 18
337 4.038 0.000179911 18
338 4.05 0 18
339 4.062 0 18
340 4.074 0 18
341 4.086 0 18
342 4.098 0 18
343 4.11 0 18
344 4.122 0 18
345 4.134 0.000514956 18
346 4.146 0.00255989 18.0001
347 4.158 0.00593866 18.0004
348 4.17 0.0136648 18.0011
349 4.182 0.0278439 18.0024
350 4.194 0.0848888 18.0065
351 4.206 0.175277 18.0149
352 4.218 0.365216 18.0326
353 4.23 0.745968 18.069
354 4.242 1.32978 18.1343
355 4.254 2.268 18.2462
356 4.266 3.57834 18.4238
357 4.278 5.25977 18.6863
358 4.29 7.21231 19.0483
359 4.302 9.29834 19.5176
360 4.314 10.9651 20.0741
361 4.326 12.151 20.6943
362 4.338 12.5341 21.3375
363 4.35 12.0231 21.9579
364 4.362 10.6072 22.5083
365 4.374 8.77027 22.9659
366 4.386 6.84118 23.3248
367 4.398 4.8984 23.5832
368 4.41 3.30653 23.7586
369 4.422 2.04209 23.8675
370 4.434 1.18398 23.9309
371 4.446 0.645862 23.9658
372 4.458 0.336841 23.984
373 4.47 0.165022 23.993
374 4.482 0.0733077 23.997
375 4.494 0.0351511 23.999
376 4.506 0.0117029 23.9996
377 4.518 0.00517368 23.9999
378 4.53 0.00157248 24
379 4.542 0.000284397 24
380 4.554 0.00014145 24
381 4.566 0 24
382 4.578 0 24
383 4.59 0 24
384 4.602 0 24
385 4.614 0 24
386 4.626 0 24
387 4.638 0 24
388 4.65 0 24
389 4.662 0 24
390 4.674 0 24
391 4.686 0 24
392 4.698 0 24
393 4.71 0 24
394 4.722 0 24
395 4.734 0 24
396 4.746 0 24
397 4.758 0 24
398 4.77 0 24
399 4.782 0 24
