# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
182 65.34 0.0018866 8.53475
183 65.7 0.00193243 8.55329
184 66.06 0.00198602 8.57234
185 66.42 0.00204198 8.59193
186 66.78 0.00209292 8.61201
187 67.14 0.00215712 8.63271
188 67.5 0.00222952 8.6541
189 67.86 0.00229453 8.67611
190 68.22 0.00237402 8.69889
191 68.58 0.00245222 8.72241
192 68.94 0.00253593 8.74674
193 69.3 0.00262329 8.77191
194 69.66 0.00270469 8.79786
195 70.02 0.00279243 8.82465
196 70.38 0.00287743 8.85226
197 70.74 0.00295187 8.88058
198 71.1 0.00303916 8.90973
199 71.46 0.00311171 8.93959
200 71.82 0.00318681 8.97016
201 72.18 0.00325821 9.00142
202 72.54 0.00333772 9.03344
203 72.9 0.00340525 9.06611
204 73.26 0.00348191 9.09952
205 73.62 0.00356427 9.13372
206 73.98 0.00364918 9.16873
207 74.34 0.00373306 9.20454
208 74.7 0.00382897 9.24128
209 75.06 0.00392175 9.2789
210 75.42 0.00402196 9.31749
211 75.78 0.00412435 9.35706
212 76.14 0.00422253 9.39757
213 76.5 0.00433037 9.43911
214 76.86 0.00445946 9.4819
215 77.22 0.00456411 9.52569
216 77.58 0.00467897 9.57058
217 77.94 0.00482049 9.61683
218 78.3 0.00495452 9.66436
219 78.66 0.00509183 9.71321
220 79.02 0.00525112 9.76359
221 79.38 0.00540206 9.81542
222 79.74 0.00558352 9.86899
223 80.1 0.0057598 9.92425
224 80.46 0.00595839 9.98141
225 80.82 0.00615531 10.0405
226 81.18 0.00638875 10.1018
227 81.54 0.0066197 10.1653
228 81.9 0.00686347 10.2311
229 82.26 0.0071164 10.2994
230 82.62 0.00739816 10.3704
231 82.98 0.007683 10.4441
232 83.34 0.00798811 10.5207
233 83.7 0.00830226 10.6004
234 84.06 0.0086356 10.6832
235 84.42 0.00896783 10.7693
236 84.78 0.00929283 10.8584
237 85.14 0.0096467 10.951
238 85.5 0.00997782 11.0467
239 85.86 0.0103284 11.1458
240 86.22 0.0106554 11.248
241 86.58 0.0109736 11.3533
242 86.94 0.0112683 11.4614
243 87.3 0.0115556 11.5723
244 87.66 0.0118132 11.6856
245 88.02 0.0120458 11.8012
246 88.38 0.0122413 11.9186
247 88.74 0.0124066 12.0377
248 89.1 0.0125308 12.1579
249 89.46 0.0126013 12.2788
250 89.82 0.0126565 12.4002
251 90.18 0.0126661 12.5217
252 90.54 0.0126561 12.6431
253 90.9 0.0125893 12.7639
254 91.26 0.0125021 12.8839
255 91.62 0.012388 13.0027
256 91.98 0.0122336 13.1201
257 92.34 0.0120716 13.2359
258 92.7 0.0118676 13.3498
259 93.06 0.0116635 13.4617
260 93.42 0.0114311 13.5713
261 93.78 0.0111966 13.6788
262 94.14 0.0109545 13.7839
263 94.5 0.0107045 13.8866
264 94.86 0.0104608 13.9869
265 95.22 0.0102112 14.0849
266 95.58 0.00996875 14.1805
267 95.94 0.00975404 14.2741
268 96.3 0.00952818 14.3655
269 96.66 0.00932627 14.455
270 97.02 0.00913845 14.5427
271 97.38 0.0089621 14.6287
272 97.74 0.00879228 14.713
273 98.1 0.00864482 14.7959
274 98.46 0.00850386 14.8775
275 98.82 0.00839004 14.958
276 99.18 0.00827698 15.0374
277 99.54 0.00817742 15.1159
278 99.9 0.00809241 15.1935
279 100.26 0.00801393 15.2704
280 100.62 0.00793521 15.3465
281 100.98 0.0078849 15.4222
282 101.34 0.00784232 15.4974
283 101.7 0.0078026 15.5723
284 102.06 0.00778338 15.647
285 102.42 0.00775505 15.7214
286 102.78 0.00773603 15.7956
287 103.14 0.00773247 15.8698
288 103.5 0.00773793 15.944
289 103.86 0.00774128 16.0183
290 104.22 0.00774115 16.0925
291 104.58 0.00775511 16.1669
292 104.94 0.0077825 16.2416
293 105.3 0.00779474 16.3164
294 105.66 0.00781692 16.3914
295 106.02 0.00783588 16.4666
296 106.38 0.0078622 16.542
297 106.74 0.00788346 16.6176
298 107.1 0.00790819 16.6935
299 107.46 0.00793141 16.7696
300 107.82 0.00794437 16.8458
301 108.18 0.00795948 16.9222
302 108.54 0.00798171 16.9987
303 108.9 0.00798859 17.0754
304 109.26 0.00799143 17.152
305 109.62 0.00800311 17.2288
306 109.98 0.00799672 17.3055
307 110.34 0.00800423 17.3823
308 110.7 0.00798687 17.459
309 111.06 0.00798307 17.5356
310 111.42 0.00796153 17.6119
311 111.78 0.00793442 17.6881
312 112.14 0.00792796 17.7641
313 112.5 0.0078971 17.8399
314 112.86 0.0078667 17.9154
315 113.22 0.0078293 17.9905
316 113.58 0.00781418 18.0654
317 113.94 0.00777126 18.14
318 114.3 0.00774621 18.2143
319 114.66 0.0077255 18.2884
320 115.02 0.00767759 18.3621
321 115.38 0.00766381 18.4356
322 115.74 0.00764945 18.509
323 116.1 0.00762052 18.5821
324 116.46 0.0075934 18.655
325 116.82 0.00757556 18.7276
326 117.18 0.00755485 18.8001
327 117.54 0.00753178 18.8724
328 117.9 0.00751419 18.9445
329 118.26 0.0075002 19.0164
330 118.62 0.00747244 19.0881
331 118.98 0.00745127 19.1596
332 119.34 0.00743057 19.2309
333 119.7 0.00741094 19.302
334 120.06 0.00739465 19.3729
335 120.42 0.00737054 19.4436
336 120.78 0.00735386 19.5142
337 121.14 0.0073347 19.5846
338 121.5 0.00730163 19.6546
339 121.86 0.0072876 19.7245
340 122.22 0.00727192 19.7943
341 122.58 0.00725411 19.8639
342 122.94 0.00723185 19.9333
343 123.3 0.00722666 20.0026
344 123.66 0.00720101 20.0717
345 124.02 0.00719257 20.1407
346 124.38 0.00717022 20.2095
347 124.74 0.00716152 20.2782
348 125.1 0.00714659 20.3468
349 125.46 0.00713604 20.4152
350 125.82 0.0071263 20.4836
351 126.18 0.00710667 20.5518
352 126.54 0.00708598 20.6198
353 126.9 0.00708373 20.6877
354 127.26 0.00705845 20.7554
355 127.62 0.00704082 20.823
356 127.98 0.00702596 20.8904
357 128.34 0.00700829 20.9576
358 128.7 0.00699422 21.0247
359 129.06 0.00697201 21.0916
360 129.42 0.00696469 21.1584
361 129.78 0.00694371 21.2251
362 130.14 0.00693396 21.2916
363 130.5 0.00691044 21.3579
364 130.86 0.00690706 21.4242
365 131.22 0.00688095 21.4902
366 131.58 0.00686211 21.556
367 131.94 0.00684852 21.6217
368 132.3 0.00682705 21.6872
369 132.66 0.00682185 21.7527
370 133.02 0.0067985 21.8179
371 133.38 0.00678976 21.883
372 133.74 0.00676076 21.9479
373 134.1 0.00674961 22.0126
374 134.46 0.00674511 22.0774
375 134.82 0.0067294 22.1419
376 135.18 0.00671966 22.2064
377 135.54 0.00672602 22.2709
378 135.9 0.00672561 22.3354
379 136.26 0.00672553 22.4
380 136.62 0.00673086 22.4645
381 136.98 0.00673572 22.5292
382 137.34 0.00674847 22.5939
383 137.7 0.00675339 22.6587
384 138.06 0.00677547 22.7237
385 138.42 0.00679383 22.7889
386 138.78 0.00681454 22.8543
387 139.14 0.00683679 22.9199
388 139.5 0.00685684 22.9856
389 139.86 0.00688832 23.0517
390 140.22 0.00689766 23.1179
391 140.58 0.00693835 23.1845
392 140.94 0.00695071 23.2512
393 141.3 0.00696707 23.318
394 141.66 0.00698639 23.385
395 142.02 0.00699783 23.4522
396 142.38 0.00700527 23.5194
397 142.74 0.00703138 23.5868
398 143.1 0.00702605 23.6542
399 143.46 0.00701692 23.7216
400 143.82 0.00701495 23.7889
401 144.18 0.0070153 23.8562
402 144.54 0.00699368 23.9233
403 144.9 0.00697868 23.9902
404 145.26 0.00695292 24.0569
405 145.62 0.0069191 24.1233
406 145.98 0.00688596 24.1894
407 146.34 0.0068466 24.2551
408 146.7 0.00679453 24.3203
409 147.06 0.00675238 24.385
410 147.42 0.00668142 24.4491
411 147.78 0.00661692 24.5126
412 148.14 0.00652769 24.5753
413 148.5 0.00645225 24.6372
414 148.86 0.00635394 24.6981
415 149.22 0.00625524 24.7581
416 149.58 0.00614614 24.8171
417 149.94 0.00603593 24.875
418 150.3 0.00590348 24.9316
419 150.66 0.00578459 24.9871
420 151.02 0.00564593 25.0413
421 151.38 0.00551278 25.0942
422 151.74 0.00537696 25.1458
423 152.1 0.00523891 25.196
424 152.46 0.00509923 25.245
425 152.82 0.00494619 25.2924
426 153.18 0.00480314 25.3385
427 153.54 0.00465141 25.3831
428 153.9 0.00450922 25.4264
429 154.26 0.00436353 25.4683
430 154.62 0.00422451 25.5088
431 154.98 0.00408876 25.548
432 155.34 0.00395608 25.586
