# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
187 67.14 0.00381287 3765.33
188 67.5 0.0037906 3781.9
189 67.86 0.00409725 3799.81
190 68.22 0.00442616 3819.15
191 68.58 0.00449472 3838.8
192 68.94 0.00419821 3857.15
193 69.3 0.00371878 3873.4
194 69.66 0.00343758 3888.43
195 70.02 0.00370328 3904.61
196 70.38 0.0046135 3924.78
197 70.74 0.00592964 3950.7
198 71.1 0.00718818 3982.11
199 71.46 0.00807037 4017.39
200 71.82 0.0086677 4055.27
201 72.18 0.00927173 4095.8
202 72.54 0.0099485 4139.28
203 72.9 0.0104954 4185.16
204 73.26 0.0106769 4231.83
205 73.62 0.0104012 4277.29
206 73.98 0.00980314 4320.14
207 74.34 0.00922474 4360.46
208 74.7 0.00900211 4399.8
209 75.06 0.00926849 4440.31
210 75.42 0.00989985 4483.58
211 75.78 0.0106231 4530.02
212 76.14 0.0111894 4578.92
213 76.5 0.011536 4629.35
214 76.86 0.0116841 4680.42
215 77.22 0.0116087 4731.16
216 77.58 0.0112777 4780.45
217 77.94 0.0107956 4827.64
218 78.3 0.0103084 4872.69
219 78.66 0.00982343 4915.63
220 79.02 0.00924605 4956.04
221 79.38 0.00860987 4993.67
222 79.74 0.008074 5028.97
223 80.1 0.00769016 5062.58
224 80.46 0.00731319 5094.54
225 80.82 0.00682117 5124.36
226 81.18 0.00633327 5152.04
227 81.54 0.0061503 5178.92
228 81.9 0.00645514 5207.14
229 82.26 0.00708749 5238.11
230 82.62 0.00765773 5271.58
231 82.98 0.00791805 5306.19
232 83.34 0.00795938 5340.98
233 83.7 0.00794515 5375.71
234 84.06 0.00777446 5409.69
235 84.42 0.00719555 5441.14
236 84.78 0.0062077 5468.28
237 85.14 0.00506705 5490.42
238 85.5 0.00395643 5507.72
239 85.86 0.00288295 5520.32
240 86.22 0.0019108 5528.67
241 86.58 0.00122963 5534.04
242 86.94 0.00100998 5538.46
243 87.3 0.00132682 5544.26
244 87.66 0.00228195 5554.23
245 88.02 0.00415284 5572.38
246 88.38 0.00739368 5604.7
247 88.74 0.012387 5658.84
248 89.1 0.018866 5741.3
249 89.46 0.0253949 5852.3
250 89.82 0.0296759 5982.01
251 90.18 0.0299827 6113.06
252 90.54 0.0265546 6229.13
253 90.9 0.0213595 6322.49
254 91.26 0.0164645 6394.45
255 91.62 0.012779 6450.3
256 91.98 0.0101737 6494.77
257 92.34 0.00821721 6530.69
258 92.7 0.00663788 6559.7
259 93.06 0.00533053 6583
260 93.42 0.00425809 6601.61
261 93.78 0.00342376 6616.58
262 94.14 0.00286492 6629.1
263 94.5 0.00265212 6640.69
264 94.86 0.00284484 6653.12
265 95.22 0.00342544 6668.1
266 95.58 0.00425811 6686.71
267 95.94 0.00516262 6709.27
268 96.3 0.00601128 6735.55
269 96.66 0.00669746 6764.82
270 97.02 0.00705012 6795.64
271 97.38 0.00690756 6825.83
272 97.74 0.00631783 6853.44
273 98.1 0.00559214 6877.89
274 98.46 0.00512585 6900.29
275 98.82 0.00512552 6922.69
276 99.18 0.00553805 6946.9
277 99.54 0.00615799 6973.81
278 99.9 0.00678174 7003.46
279 100.26 0.00730963 7035.41
280 100.62 0.00771723 7069.14
281 100.98 0.00805753 7104.36
282 101.34 0.00845828 7141.33
283 101.7 0.00906526 7180.95
284 102.06 0.00987815 7224.12
285 102.42 0.0106855 7270.83
286 102.78 0.0112883 7320.17
287 103.14 0.0116805 7371.22
288 103.5 0.0119921 7423.64
289 103.86 0.0122565 7477.21
290 104.22 0.0123254 7531.08
291 104.58 0.0119947 7583.51
292 104.94 0.011233 7632.61
293 105.3 0.0102819 7677.55
294 105.66 0.00955053 7719.29
295 106.02 0.00937167 7760.26
296 106.38 0.00975842 7802.91
297 106.74 0.0103696 7848.23
298 107.1 0.0107364 7895.16
299 107.46 0.0106034 7941.51
300 107.82 0.0100763 7985.55
301 108.18 0.00945297 8026.87
302 108.54 0.00891649 8065.84
303 108.9 0.00842934 8102.68
304 109.26 0.00784357 8136.97
305 109.62 0.007095 8167.98
